OBJECTID,VAPID,LandmkName,Address,City,State,Zip,Phone,URL,X,Y,LOC,LastCheck,PlaceType,SrcTyp,Src,FIPScode,FIPSname
438,51013000000151,Healthqare Services ASC,"1005 N Glebe Road, Suite 200",Arlington,VA,22201,-,https://www.azuravascularcare.com/center/healthqare-services/,-77.11568742,38.88316693,AP,2025/11/13 00:00:00+00,Hospital Points,Outpatient Surgical Hospital,VDH,51013,Arlington County
439,51087000078295,Parham Doctors' Hospital - A Campus of Henrico Doctors' Hospital,7700 East Parham Road,Richmond,VA,23294,-,https://www.hcavirginia.com/locations/parham-doctors-hospital,-77.52581948,37.63138187,AP,2025/11/13 00:00:00+00,Hospital Points,Inpatient Hospital,VDH,51087,Henrico County
440,51760000075041,Retreat Doctors' Hospital - A Campus of Henrico Doctors' Hospital,2621 Grove Avenue,Richmond,VA,23220,-,https://www.hcavirginia.com/locations/retreat-doctors-hospital,-77.47272406,37.55415673,AP,2025/11/13 00:00:00+00,Hospital Points,Inpatient Hospital,VDH,51760,Richmond City
441,51087000001968,Henrico Doctors' Hospital,1602 Skipwith Road,Richmond,VA,23229,-,https://www.hcavirginia.com/locations/henrico-doctors-hospital,-77.53913439,37.60450002,AP,2025/11/13 00:00:00+00,Hospital Points,Inpatient Hospital,VDH,51087,Henrico County
442,51710000009448,Lake Taylor Transitional Care Hospital,1309 Kempsville Road,Norfolk,VA,23502,-,https://www.laketaylor.org/,-76.20591452,36.86694563,AP,2025/11/13 00:00:00+00,Hospital Points,Inpatient Hospital,VDH,51710,Norfolk City
443,51710000040733,Sentara Hospital for Extended Recovery,"600 Gresham Drive,  Suite 700",Norfolk,VA,23507,-,https://www.sentara.com/hospitalslocations/hospital-for-extended-recovery,-76.30341878,36.86198017,AP,2025/11/13 00:00:00+00,Hospital Points,Inpatient Hospital,VDH,51710,Norfolk City
444,51510000021897,Inova Alexandria Hospital,4320 Seminary Road,Alexandria,VA,22304,-,https://www.inova.org/locations/inova-alexandria-hospital,-77.10481429,38.82288016,AP,2025/11/13 00:00:00+00,Hospital Points,Inpatient Hospital,VDH,51510,Alexandria City
445,51059000362271,"Inova Ambulatory Surgery Center at Lorton, LLC","9321 Sanger Street, Suite 200",Lorton,VA,22079,-,-,-77.22694709,38.70252261,AP,2025/11/13 00:00:00+00,Hospital Points,Outpatient Surgical Hospital,VDH,51059,Fairfax County
446,51059000353162,Inova Fair Oaks Hospital,3600 Joseph Siewick Drive,Fairfax,VA,22033,-,https://www.inova.org/locations/inova-fair-oaks-hospital,-77.37991394,38.88480658,AP,2025/11/13 00:00:00+00,Hospital Points,Inpatient Hospital,VDH,51059,Fairfax County
447,51059000095950,Inova Fairfax Hospital,3300 Gallows Road,Falls Church,VA,22042,-,https://www.inova.org/locations/inova-fairfax-medical-campus,-77.2264261,38.85819239,AP,2025/11/13 00:00:00+00,Hospital Points,Inpatient Hospital,VDH,51059,Fairfax County
448,51107000021373,"Inova Loudoun Ambulatory Surgery Center, LLC","44035 Riverside Parkway,  Suite 200",Leesburg,VA,20176,-,-,-77.47842453,39.07516581,AP,2025/11/13 00:00:00+00,Hospital Points,Outpatient Surgical Hospital,VDH,51107,Loudoun County
449,51107000021378,Inova Loudoun Hospital,44045 Riverside Parkway,Leesburg,VA,20176,-,https://www.inova.org/locations/inova-loudoun-hospital,-77.47804764,39.07392531,AP,2025/11/13 00:00:00+00,Hospital Points,Inpatient Hospital,VDH,51107,Loudoun County
450,51059000242967,Inova Mount Vernon Hospital,2501 Parker's Lane,Alexandria,VA,22306,-,https://www.inova.org/locations/inova-mount-vernon-hospital,-77.07627758,38.73986398,AP,2025/11/13 00:00:00+00,Hospital Points,Inpatient Hospital,VDH,51059,Fairfax County
451,51059000361757,"Franconia-Springfield Surgery Center, LLC","6355 Walker Lane, Suite 200",Alexandria,VA,22310,-,-,-77.1608895,38.76742966,AP,2025/11/13 00:00:00+00,Hospital Points,Outpatient Surgical Hospital,VDH,51059,Fairfax County
452,51191000028890,Johnston Memorial Hospital,16000 Johnston Memorial Drive,Abingdon,VA,24211,-,https://www.balladhealth.org/locations/hospitals/johnston-memorial,-81.91196167,36.72304097,AP,2025/11/13 00:00:00+00,Hospital Points,Inpatient Hospital,VDH,51191,Washington County
453,51041000163827,CJW Medical Center - Johnston-Willis Campus,1401 Johnston-Willis Dr.,Richmond,VA,23235,-,https://www.hcavirginia.com/locations/johnston-willis-hospital,-77.59534269,37.51039587,AP,2025/11/13 00:00:00+00,Hospital Points,Inpatient Hospital,VDH,51041,Chesterfield County
454,51153000113279,Kaiser Permanente Caton Hill Ambulatory Surgery Center,13285 Minnieville Road,Woodbridge,VA,22192,-,-,-77.29644095,38.66004834,AP,2025/11/13 00:00:00+00,Hospital Points,Outpatient Surgical Hospital,VDH,51153,Prince William County
455,51059000215502,Kaiser Permanente Tysons Corner Medical Center Ambulatory Surgery Center,8008 Westpark Drive,McLean,VA,22102,-,-,-77.2242556,38.9295528,AP,2025/11/13 00:00:00+00,Hospital Points,Outpatient Surgical Hospital,VDH,51059,Fairfax County
456,51710000073282,Kempsville Center for Behavioral Health,860 Kempsville Road,Norfolk,VA,23502,-,-,-76.18976151,36.85301895,AP,2025/11/13 00:00:00+00,Hospital Points,-,VDH,51710,Norfolk City
457,51153000168626,Lake Ridge Ambulatory Surgery Center,"12825 Minnieville Road, Suite 204",Woodbridge,VA,22192,-,-,-77.27763939,38.67279207,AP,2025/11/13 00:00:00+00,Hospital Points,Outpatient Surgical Hospital,VDH,51153,Prince William County
458,51105000003421,Lee County Community Hospital,127 Health Care Drive,Pennington Gap,VA,24277,-,https://www.balladhealth.org/locations/hospitals/lee-county-community,-83.05175959,36.74863796,AP,2025/11/13 00:00:00+00,Hospital Points,Inpatient Hospital,VDH,51105,Lee County
459,51710000081599,"Leigh Orthopedic Surgery Center, LLC",6201 E. Virginia Beach Blvd,Norfolk,VA,23502,-,-,-76.19310647,36.85450873,AP,2025/11/13 00:00:00+00,Hospital Points,Outpatient Surgical Hospital,VDH,51710,Norfolk City
460,51005000003438,LewisGale Hospital Alleghany,1 ARH Lane,Low Moor,VA,24457,-,https://www.hcavirginia.com/locations/lewisgale-hospital-alleghany,-79.88103469,37.79201478,AP,2025/11/13 00:00:00+00,Hospital Points,Inpatient Hospital,VDH,51005,Alleghany County
461,51121000000647,LewisGale Hospital Montgomery,3700 South Main Street,Blacksburg,VA,24060,-,https://www.hcavirginia.com/locations/lewisgale-hospital-montgomery,-80.41120943,37.18742915,AP,2025/11/13 00:00:00+00,Hospital Points,Inpatient Hospital,VDH,51121,Montgomery County
462,51155000008110,LewisGale Hospital Pulaski,2400 Lee Highway,Pulaski,VA,24301,-,https://www.hcavirginia.com/locations/lewisgale-hospital-pulaski,-80.7571961,37.0683294,AP,2025/11/13 00:00:00+00,Hospital Points,Inpatient Hospital,VDH,51155,Pulaski County
463,51775000007901,LewisGale Medical Center,1900 Electric Road,Salem,VA,24153,-,https://www.hcavirginia.com/locations/lewisgale-medical-center,-80.03128373,37.26316887,AP,2025/11/13 00:00:00+00,Hospital Points,Inpatient Hospital,VDH,51775,Salem City
464,51680000025218,Centra Lynchburg General Hospital,1901 Tate Springs Road,Lynchburg,VA,24501,-,https://www.centrahealth.com/locations/centra-lynchburg-general-hospital,-79.1716211,37.41710096,AP,2025/11/13 00:00:00+00,Hospital Points,Inpatient Hospital,VDH,51680,Lynchburg City
465,51003000034149,Sentara Martha Jefferson Outpatient Surgery Center,595 Martha Jefferson Drive,Charlottesville,VA,22911,-,-,-78.43999367,38.02280487,AP,2025/11/13 00:00:00+00,Hospital Points,Outpatient Surgical Hospital,VDH,51003,Albemarle County
466,51690000006306,Martinsville Center for Sight,433 East Commonwealth Blvd,Martinsville,VA,24112,-,-,-79.85626029,36.6960207,AP,2025/11/13 00:00:00+00,Hospital Points,Outpatient Surgical Hospital,VDH,51690,Martinsville City
467,51700000094992,Mary Immaculate Ambulatory Surgery Center,"12720 McManus Boulevard,  Suite 103",Newport News,VA,23602,-,-,-76.51245019,37.14372479,AP,2025/11/13 00:00:00+00,Hospital Points,Outpatient Surgical Hospital,VDH,51700,Newport News City
468,51630000005011,"Mary Washington Hospital, Inc.",1001 Sam Perry Boulevard,Fredericksburg,VA,22401,-,https://www.marywashingtonhealthcare.com/locations/mary-washington-hospital/,-77.4836064,38.31104065,AP,2025/11/13 00:00:00+00,Hospital Points,Inpatient Hospital,VDH,51630,Fredericksburg City
469,51059000293182,"McLean Ambulatory Surgery, LLC","7601 Lewinsville Road, Suite 440",McLean,VA,22102,-,-,-77.20710815,38.93449115,AP,2025/11/13 00:00:00+00,Hospital Points,Outpatient Surgical Hospital,VDH,51059,Fairfax County
470,51760000006351,MedRVA Surgery Center at Stony Point,"8700 Stony Point Parkway, Suite 100",Richmond,VA,23235,-,-,-77.56250492,37.55214029,AP,2025/11/13 00:00:00+00,Hospital Points,Outpatient Surgical Hospital,VDH,51760,Richmond City
471,51075000010808,MedRVA - Surgery Center at West Creek,1630 Wilkes Ridge Parkway,Henrico,VA,23233,-,-,-77.65335895,37.66057234,AP,2025/11/13 00:00:00+00,Hospital Points,-,VDH,51075,Goochland County
472,51121000031251,NRV Surgery Center,2901 Lamb Circle,Christiansburg,VA,24073,-,-,-80.50473916,37.0910962,AP,2025/11/13 00:00:00+00,Hospital Points,Outpatient Surgical Hospital,VDH,51121,Montgomery County
473,51700000089032,Newport News Behavioral Health Center,17579 Warwick Blvd,Newport News,VA,23603,-,-,-76.58324605,37.20449972,AP,2025/11/13 00:00:00+00,Hospital Points,-,VDH,51700,Newport News City
474,51107000055991,North Spring Behavioral Healthcare,42009 Victory Lane,Leesburg,VA,20176,-,-,-77.54664158,39.14561222,AP,2025/11/13 00:00:00+00,Hospital Points,-,VDH,51107,Loudoun County
475,51059000069280,"Northern Virginia Eye Surgery Center, LLC","2710 Prosperity Avenue, Suite 150",Fairfax,VA,22031,-,-,-77.23685553,38.87866881,AP,2025/11/13 00:00:00+00,Hospital Points,Outpatient Surgical Hospital,VDH,51059,Fairfax County
476,51059000353157,"Northern Virginia Surgery Center, LLC",3620 Joseph Siewick Drive,Fairfax,VA,22033,-,-,-77.3809856,38.88492915,AP,2025/11/13 00:00:00+00,Hospital Points,Outpatient Surgical Hospital,VDH,51059,Fairfax County
477,51720000001309,Norton Community Hospital,100 15th Street NW,Norton,VA,24273,-,https://www.balladhealth.org/locations/hospitals/norton-community,-82.64199217,36.93256601,AP,2025/11/13 00:00:00+00,Hospital Points,Inpatient Hospital,VDH,51720,Norton City
478,51059000359953,"Pediatric Specialists of Virginia, LLC",3023 Hamaker Ct. Ste 400,Fairfax,VA,22031,-,-,-77.23576219,38.86844412,AP,2025/11/13 00:00:00+00,Hospital Points,Outpatient Surgical Hospital,VDH,51059,Fairfax County
479,51590000000006,"Piedmont Day Surgery Center, Inc.",1040 Main Street,Danville,VA,24543,-,-,-79.40260864,36.58047445,AP,2025/11/13 00:00:00+00,Hospital Points,Outpatient Surgical Hospital,VDH,51590,Danville City
480,51730000010831,Poplar Springs Hospital,350 Poplar Drive,Petersburg,VA,23805,-,-,-77.35919598,37.18771103,AP,2025/11/13 00:00:00+00,Hospital Points,-,VDH,51730,Petersburg City
481,51700000028115,"Port Warwick Surgery Center, LLC",1031 Loftis Avenue,Newport News,VA,23606,-,-,-76.48485376,37.0847583,AP,2025/11/13 00:00:00+00,Hospital Points,Outpatient Surgical Hospital,VDH,51700,Newport News City
482,51683000016921,UVA Health Prince William Medical Center,8644 Sudley Road,Manassas,VA,20110,-,https://princewilliamasc.com/,-77.48872662,38.76771034,AP,2025/11/13 00:00:00+00,Hospital Points,Inpatient Hospital,VDH,51683,Manassas City
483,51810000024376,Princess Anne Ambulatory Surgery Center,1975 Glenn Mitchell Drive,Virginia Beach,VA,23456,-,-,-76.09769899,36.77658212,AP,2025/11/13 00:00:00+00,Hospital Points,Outpatient Surgical Hospital,VDH,51810,Virginia Beach City
