year,GEOID,NAME,total_malesE,total_malesM,male_insuredE,male_insuredM,male_uninsuredE,male_uninsuredM,total_femalesE,total_femalesM,female_insuredE,female_insuredM,female_uninsuredE,female_uninsuredM,pct_male_insured,pct_female_insured,total_pop,total_insured,pct_pop_insured
2020,51137,"Orange County, Virginia",2943,166,2743,229,200,183,2861,161,2728,195,133,94,93.20421338769962,95.35127577770011,5804,5471,94.26257753273605
2020,51139,"Page County, Virginia",1758,112,1637,138,121,73,1748,132,1603,128,145,76,93.11717861205916,91.70480549199085,3506,3240,92.41300627495723
2020,51141,"Patrick County, Virginia",1130,110,1098,111,32,29,970,70,884,117,86,75,97.16814159292035,91.1340206185567,2100,1982,94.38095238095238
2020,51145,"Powhatan County, Virginia",2068,108,2033,118,35,38,1963,109,1744,134,219,130,98.30754352030948,88.84360672440143,4031,3777,93.6988340362193
2020,51147,"Prince Edward County, Virginia",1747,213,1576,193,171,119,1889,224,1839,229,50,74,90.21179164281625,97.3530968766543,3636,3415,93.92189218921892
2020,51149,"Prince George County, Virginia",3135,180,3110,186,25,52,3253,176,3168,189,85,67,99.20255183413079,97.38702735936059,6388,6278,98.2780212899186
2020,51155,"Pulaski County, Virginia",2388,154,2260,169,128,76,2186,110,2096,130,90,77,94.63986599664992,95.8828911253431,4574,4356,95.23393091386096
2020,51157,"Rappahannock County, Virginia",570,106,491,101,79,80,458,87,427,85,31,34,86.14035087719299,93.23144104803494,1028,918,89.29961089494164
2020,51161,"Roanoke County, Virginia",7760,247,7418,278,342,144,7092,222,6774,244,318,134,95.59278350515464,95.5160744500846,14852,14192,95.55615405332615
2020,51163,"Rockbridge County, Virginia",1365,107,1282,112,83,87,1455,131,1393,152,62,67,93.91941391941391,95.73883161512028,2820,2675,94.8581560283688
2020,51167,"Russell County, Virginia",1961,191,1879,207,82,68,1936,238,1817,257,119,92,95.81845996940336,93.85330578512396,3897,3696,94.84218629715166
2020,51169,"Scott County, Virginia",1528,85,1467,98,61,56,1395,92,1275,183,120,144,96.00785340314137,91.39784946236558,2923,2742,93.80773178241533
2020,51173,"Smyth County, Virginia",2273,73,2204,93,69,51,2108,127,2076,126,32,24,96.96436427628684,98.4819734345351,4381,4280,97.69459027619266
2020,51175,"Southampton County, Virginia",1381,125,1333,137,48,42,1238,72,1199,72,39,31,96.52425778421434,96.8497576736672,2619,2532,96.67812142038946
2020,51179,"Stafford County, Virginia",14860,256,14137,330,723,269,14483,286,13842,368,641,241,95.13458950201884,95.57412138369122,29343,27979,95.35153188153905
2020,51181,"Surry County, Virginia",359,61,333,62,26,35,473,42,434,68,39,40,92.75766016713092,91.75475687103594,832,767,92.1875
2020,51185,"Tazewell County, Virginia",3016,154,2883,157,133,96,2928,119,2822,139,106,71,95.59018567639257,96.37978142076503,5944,5705,95.97913862718708
2020,51187,"Warren County, Virginia",3247,254,3108,278,139,105,3243,147,3138,158,105,59,95.71912534647366,96.76225716928771,6490,6246,96.24036979969183
2020,51193,"Westmoreland County, Virginia",1324,169,1286,159,38,47,1129,152,1129,152,0,20,97.1299093655589,100,2453,2415,98.45087647778232
2020,51195,"Wise County, Virginia",2743,100,2655,118,88,62,2797,129,2711,140,86,65,96.79183375865841,96.9252770825885,5540,5366,96.85920577617328
2020,51199,"York County, Virginia",6096,234,5973,238,123,86,6430,251,6339,267,91,69,97.98228346456693,98.58475894245723,12526,12312,98.29155356857736
2020,51510,"Alexandria city, Virginia",8923,211,8178,301,745,222,8711,302,8118,344,593,217,91.65079009301805,93.1925152106532,17634,16296,92.41238516502212
2020,51530,"Buena Vista city, Virginia",517,87,517,87,0,18,630,104,630,104,0,18,100,100,1147,1147,100
2020,51540,"Charlottesville city, Virginia",2386,199,2248,226,138,145,2503,134,2402,150,101,69,94.2162615255658,95.96484218937276,4889,4650,95.11147473921048
2020,51570,"Colonial Heights city, Virginia",1401,166,1314,163,87,58,1456,115,1387,127,69,54,93.79014989293361,95.26098901098901,2857,2701,94.53972698634931
