"","LandmkName","Address","City","Zip","X","Y","LastCheck","SrcTyp","FIPScode","FIPSname"
"60","Lake Taylor Transitional Care Hospital","1309 Kempsville Road","Norfolk","23502",-76.20591452,36.86694563,"2025/11/13 00:00:00+00","Inpatient Hospital",51710,"Norfolk City"
"61","Sentara Hospital for Extended Recovery","600 Gresham Drive,  Suite 700","Norfolk","23507",-76.30341878,36.86198017,"2025/11/13 00:00:00+00","Inpatient Hospital",51710,"Norfolk City"
"62","Inova Alexandria Hospital","4320 Seminary Road","Alexandria","22304",-77.10481429,38.82288016,"2025/11/13 00:00:00+00","Inpatient Hospital",51510,"Alexandria City"
"63","Inova Ambulatory Surgery Center at Lorton, LLC","9321 Sanger Street, Suite 200","Lorton","22079",-77.22694709,38.70252261,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51059,"Fairfax County"
"64","Inova Fair Oaks Hospital","3600 Joseph Siewick Drive","Fairfax","22033",-77.37991394,38.88480658,"2025/11/13 00:00:00+00","Inpatient Hospital",51059,"Fairfax County"
"65","Inova Fairfax Hospital","3300 Gallows Road","Falls Church","22042",-77.2264261,38.85819239,"2025/11/13 00:00:00+00","Inpatient Hospital",51059,"Fairfax County"
"66","Inova Loudoun Ambulatory Surgery Center, LLC","44035 Riverside Parkway,  Suite 200","Leesburg","20176",-77.47842453,39.07516581,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51107,"Loudoun County"
"67","Inova Loudoun Hospital","44045 Riverside Parkway","Leesburg","20176",-77.47804764,39.07392531,"2025/11/13 00:00:00+00","Inpatient Hospital",51107,"Loudoun County"
"68","Inova Mount Vernon Hospital","2501 Parker's Lane","Alexandria","22306",-77.07627758,38.73986398,"2025/11/13 00:00:00+00","Inpatient Hospital",51059,"Fairfax County"
"69","Franconia-Springfield Surgery Center, LLC","6355 Walker Lane, Suite 200","Alexandria","22310",-77.1608895,38.76742966,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51059,"Fairfax County"
"70","Johnston Memorial Hospital","16000 Johnston Memorial Drive","Abingdon","24211",-81.91196167,36.72304097,"2025/11/13 00:00:00+00","Inpatient Hospital",51191,"Washington County"
"71","CJW Medical Center - Johnston-Willis Campus","1401 Johnston-Willis Dr.","Richmond","23235",-77.59534269,37.51039587,"2025/11/13 00:00:00+00","Inpatient Hospital",51041,"Chesterfield County"
"72","Kaiser Permanente Caton Hill Ambulatory Surgery Center","13285 Minnieville Road","Woodbridge","22192",-77.29644095,38.66004834,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51153,"Prince William County"
"73","Kaiser Permanente Tysons Corner Medical Center Ambulatory Surgery Center","8008 Westpark Drive","McLean","22102",-77.2242556,38.9295528,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51059,"Fairfax County"
"74","Kempsville Center for Behavioral Health","860 Kempsville Road","Norfolk","23502",-76.18976151,36.85301895,"2025/11/13 00:00:00+00","-",51710,"Norfolk City"
"75","Lake Ridge Ambulatory Surgery Center","12825 Minnieville Road, Suite 204","Woodbridge","22192",-77.27763939,38.67279207,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51153,"Prince William County"
"76","Lee County Community Hospital","127 Health Care Drive","Pennington Gap","24277",-83.05175959,36.74863796,"2025/11/13 00:00:00+00","Inpatient Hospital",51105,"Lee County"
"77","Leigh Orthopedic Surgery Center, LLC","6201 E. Virginia Beach Blvd","Norfolk","23502",-76.19310647,36.85450873,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51710,"Norfolk City"
"78","LewisGale Hospital Alleghany","1 ARH Lane","Low Moor","24457",-79.88103469,37.79201478,"2025/11/13 00:00:00+00","Inpatient Hospital",51005,"Alleghany County"
"79","LewisGale Hospital Montgomery","3700 South Main Street","Blacksburg","24060",-80.41120943,37.18742915,"2025/11/13 00:00:00+00","Inpatient Hospital",51121,"Montgomery County"
"80","LewisGale Hospital Pulaski","2400 Lee Highway","Pulaski","24301",-80.7571961,37.0683294,"2025/11/13 00:00:00+00","Inpatient Hospital",51155,"Pulaski County"
"81","LewisGale Medical Center","1900 Electric Road","Salem","24153",-80.03128373,37.26316887,"2025/11/13 00:00:00+00","Inpatient Hospital",51775,"Salem City"
"82","Centra Lynchburg General Hospital","1901 Tate Springs Road","Lynchburg","24501",-79.1716211,37.41710096,"2025/11/13 00:00:00+00","Inpatient Hospital",51680,"Lynchburg City"
"83","Sentara Martha Jefferson Outpatient Surgery Center","595 Martha Jefferson Drive","Charlottesville","22911",-78.43999367,38.02280487,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51003,"Albemarle County"
"84","Martinsville Center for Sight","433 East Commonwealth Blvd","Martinsville","24112",-79.85626029,36.6960207,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51690,"Martinsville City"
